dates,return
20100104,0.109016729
20100105,0.109016729
20100106,0.105720952
20100107,0.106828337
20100108,0.105723455
20100111,0.10656779
20100112,0.104613896
20100113,0.10433458
20100114,0.102926169
20100115,0.103209427
20100118,0.102377808
20100119,0.105447211
20100120,0.102946498
20100121,0.103793534
20100122,0.1062712
20100125,0.1062712
20100126,0.106820901
20100127,0.105447161
20100128,0.104633483
20100129,0.107090969
20100201,0.106547611
20100202,0.109549077
20100203,0.108481558
20100204,0.106840915
20100205,0.10658577
20100208,0.103773607
20100209,0.10349194
20100210,0.100941807
20100211,0.104054486
20100212,0.103773607
20100216,0.102923569
20100217,0.104062368
20100218,0.10235461
20100219,0.10065212
20100222,0.102642108
20100223,0.105190932
20100224,0.102639493
20100225,0.103781537
20100226,0.102642163
20100302,0.103513416
20100303,0.102079836
20100304,0.100337412
20100305,0.099756299
20100308,0.100048653
20100309,0.100917914
20100310,0.099764513
20100311,0.102071617
20100312,0.10178512
20100315,0.100340155
20100316,0.10178512
20100317,0.101497803
20100318,0.101209658
20100319,0.100337412
20100322,0.100337412
20100323,0.099177327
20100324,0.100917914
20100325,0.103250398
20100326,0.100340214
20100329,0.099460293
20100330,0.099460293
20100331,0.099460293
20100401,0.100639343
20100402,0.098871242
20100405,0.09828156
20100406,0.099166202
20100407,0.099166202
20100408,0.100348741
20100409,0.097983981
20100412,0.09828156
20100413,0.099166202
20100414,0.098578255
20100415,0.099460293
20100416,0.100048712
20100419,0.098578255
20100420,0.099460293
20100421,0.099460293
20100422,0.099460293
20100423,0.099460293
20100426,0.100048712
20100427,0.100348741
20100428,0.099169073
20100429,0.098874132
20100430,0.0979811
20100503,0.096793448
20100504,0.098575409
20100506,0.098575409
20100507,0.098575409
20100510,0.098575409
20100511,0.098575409
20100512,0.097983981
20100513,0.09828156
20100514,0.098578255
20100517,0.09887407
20100518,0.099753522
20100519,0.099169013
20100520,0.100045893
20100524,0.100045893
20100525,0.100045893
20100526,0.100045893
20100527,0.099463087
20100528,0.099756299
20100531,0.100628084
20100601,0.100628084
20100603,0.100048653
20100604,0.100340155
20100607,0.10178512
20100608,0.101497803
20100609,0.100628084
20100610,0.100628084
20100611,0.100628084
20100614,0.102379295
20100615,0.099753522
20100616,0.100929104
20100617,0.099756358
20100618,0.098871242
20100621,0.098871242
20100622,0.097694086
20100623,0.098290028
20100624,0.098882435
20100625,0.099471351
20100628,0.098915084
20100629,0.10235461
20100630,0.101785064
20100701,0.102639493
20100702,0.10320948
20100705,0.10235461
20100706,0.10235461
20100707,0.101785064
20100708,0.100941807
20100709,0.099588935
20100712,0.103793534
20100713,0.105177503
20100714,0.106273626
20100715,0.1076362
20100716,0.107365167
20100719,0.107093402
20100720,0.1062712
20100721,0.1062712
20100722,0.106820901
20100723,0.105447161
20100726,0.105177503
20100727,0.106818454
20100728,0.106818454
20100729,0.106818454
20100730,0.106818454
20100802,0.105730669
20100803,0.107362748
20100804,0.107362748
20100805,0.106280808
20100806,0.10736512
20100809,0.107100417
20100810,0.108176043
20100811,0.108978198
20100812,0.110050195
20100813,0.108980536
20100816,0.107636154
20100817,0.108442588
20100818,0.108442588
20100819,0.108442588
20100820,0.108442588
20100823,0.107372143
20100824,0.108444907
20100825,0.108713055
20100826,0.108980492
20100827,0.108719887
20100830,0.108209972
20100831,0.111353861
20100901,0.109796244
20100902,0.112652088
20100903,0.111356045
20100906,0.11213349
20100907,0.11213349
20100908,0.11213349
20100909,0.116862868
20100910,0.110307183
20100913,0.11111317
20100914,0.111411674
20100915,0.107362748
20100916,0.107906506
20100917,0.106547611
20100920,0.107362748
20100924,0.107906506
20100927,0.1076362
20100928,0.106273626
20100929,0.106547611
20100930,0.106820853
20101001,0.107633796
20101004,0.106554753
20101005,0.107636154
20101006,0.10790646
20101007,0.107112021
20101008,0.10792482
20101011,0.109253978
20101012,0.11030714
20101013,0.11004985
20101014,0.120716802
20101015,0.107090969
20101018,0.106547611
20101019,0.106280808
20101020,0.10736512
20101021,0.108173711
20101022,0.110342373
20101025,0.107090969
20101026,0.108183317
20101027,0.105998892
20101028,0.107365167
20101029,0.106545199
20101101,0.103832366
20101102,0.10736512
20101103,0.107636154
20101104,0.10790646
20101105,0.107643138
20101108,0.10924494
20101109,0.108713055
20101110,0.110043245
20101111,0.10924494
20101112,0.108713055
20101115,0.108451776
20101116,0.110040958
20101117,0.110040958
20101118,0.110040958
20101119,0.110040958
20101122,0.110040958
20101123,0.108987286
20101124,0.11056817
20101125,0.11056817
20101126,0.11109488
20101129,0.110304908
20101130,0.110304908
20101201,0.110304908
20101202,0.110832997
20101203,0.110040958
20101206,0.110570432
20101207,0.109776316
20101208,0.109776316
20101209,0.109776316
20101210,0.110307183
20101213,0.108451776
20101214,0.109513247
20101215,0.110304908
20101216,0.110832997
20101217,0.110040958
20101220,0.110040958
20101221,0.110570432
20101222,0.109776316
20101223,0.109776316
20101224,0.109776316
20101227,0.108194302
20101228,0.110043202
20101229,0.11030714
20101230,0.111092643
20110103,0.11057039
20110104,0.111876483
20110105,0.111092643
20110106,0.111092643
20110107,0.11161662
20110110,0.110830747
20110111,0.109785256
20110112,0.111353861
20110113,0.10825378
20110114,0.108348947
20110117,0.111224474
20110118,0.116691169
20110119,0.115961577
20110120,0.117676308
20110121,0.117921107
20110124,0.117681996
20110125,0.119134478
20110126,0.119134478
20110127,0.118651988
20110128,0.1193758
20110131,0.117936082
20110201,0.119141861
20110207,0.118209298
20110208,0.121287846
20110209,0.121524122
20110210,0.121293131
20110211,0.123631599
20110214,0.121759851
20110215,0.123400171
20110216,0.122463817
20110217,0.121758086
20110218,0.121758086
20110221,0.121287846
20110222,0.121993281
20110223,0.121524122
20110224,0.121759851
20110225,0.121995037
20110228,0.122229681
20110302,0.122463788
20110303,0.122697358
20110304,0.123393173
20110307,0.122930395
20110308,0.124087698
20110309,0.123393173
20110310,0.123393173
20110311,0.122930395
20110314,0.123624634
20110315,0.124087698
20110316,0.122468948
20110317,0.123855571
20110318,0.123855571
20110321,0.12339488
20110322,0.124546962
20110323,0.124317588
20110324,0.124087698
20110325,0.122930395
20110328,0.123624634
20110329,0.124087698
20110330,0.123393173
20110331,0.123393173
20110401,0.12385729
20110404,0.123161187
20110405,0.123161187
20110406,0.123161187
20110407,0.123626361
20110408,0.122000247
20110411,0.123393173
20110412,0.123393173
20110413,0.123393173
20110414,0.123393173
20110415,0.122930395
20110418,0.123624634
20110419,0.123624634
20110420,0.122702495
20110421,0.12316799
20110422,0.123631373
20110425,0.12318796
20110426,0.12591086
20110427,0.125459321
20110428,0.126136697
20110429,0.125686152
20110502,0.125912481
20110503,0.126586882
20110504,0.127036708
20110506,0.126362037
20110509,0.126362037
20110511,0.126362037
20110512,0.126362037
20110513,0.126812853
20110516,0.126588507
20110517,0.12591086
20110518,0.126363669
20110519,0.125684523
20110520,0.125684523
20110523,0.125684523
20110524,0.125684523
20110525,0.125684523
20110526,0.125684523
20110527,0.125684523
20110530,0.125684523
20110531,0.125684523
20110601,0.124330718
20110602,0.127718288
20110603,0.125684523
20110607,0.126138337
20110608,0.125457685
20110609,0.125004145
20110610,0.120775418
20110613,0.127264733
20110614,0.128148683
20110615,0.128808612
20110616,0.129690151
20110617,0.127927245
20110620,0.128588593
20110621,0.128148683
20110622,0.129248779
20110623,0.128588593
20110624,0.126836114
20110627,0.129465854
20110628,0.129029682
20110629,0.128814679
20110630,0.130118916
20110701,0.130118916
20110704,0.130118916
20110705,0.130118916
20110706,0.130118916
20110707,0.130118916
20110708,0.129253254
20110711,0.130984743
20110712,0.131204172
20110713,0.130337189
20110714,0.129684003
20110715,0.129684003
20110718,0.129684003
20110719,0.129684003
20110720,0.129684003
20110721,0.129684003
20110722,0.129248756
20110725,0.129467362
20110726,0.129685505
20110727,0.129903185
20110728,0.130120404
20110729,0.129907624
20110801,0.129914942
20110802,0.132267745
20110803,0.131626778
20110804,0.131626778
20110805,0.132055019
20110808,0.131841853
20110809,0.131628244
20110810,0.132713925
20110811,0.129685505
20110812,0.130335684
20110816,0.130335684
20110817,0.129903185
20110818,0.130984743
20110819,0.130769344
20110822,0.130553493
20110823,0.130337189
20110824,0.130120427
20110825,0.129465854
20110826,0.129903208
20110829,0.128374222
20110830,0.129684003
20110831,0.129684003
20110901,0.130558035
20110902,0.12924724
20110905,0.13056569
20110906,0.128588593
20110907,0.128588593
20110908,0.129472029
20110909,0.128147133
20110914,0.128590152
20110915,0.127482931
20110916,0.128147133
20110919,0.126825339
20110920,0.128808612
20110921,0.128808612
20110922,0.128808612
20110923,0.128808612
20110926,0.127495275
20110927,0.129465854
20110928,0.128160862
20110929,0.129685505
20110930,0.130769344
20111004,0.130989244
20111005,0.130558035
20111006,0.12924724
20111007,0.12924724
20111010,0.12924724
20111011,0.128810141
20111012,0.129903208
20111013,0.129685528
20111014,0.129028161
20111017,0.128153282
20111018,0.129465854
20111019,0.129465854
20111020,0.129465854
20111021,0.128594687
20111024,0.128171353
20111025,0.130337166
20111026,0.130983257
20111027,0.130553471
20111028,0.130769322
20111031,0.131841853
20111101,0.131628244
20111102,0.130983257
20111103,0.131846276
20111104,0.130551995
20111107,0.130984743
20111108,0.130769344
20111109,0.130118916
20111110,0.130553493
20111111,0.12990169
20111114,0.12990169
20111115,0.131211726
20111116,0.129685528
20111117,0.128590128
20111118,0.129685528
20111121,0.128590128
20111122,0.12924724
20111123,0.12924724
20111124,0.128810141
20111125,0.128160862
20111128,0.129253254
20111129,0.130551995
20111130,0.131418652
20111201,0.130118916
20111202,0.130989244
20111205,0.129684003
20111206,0.130120427
20111207,0.129903208
20111208,0.128374222
20111209,0.129684003
20111212,0.129684003
20111213,0.129684003
20111214,0.130120427
20111215,0.129903208
20111216,0.12924724
20111219,0.127505907
20111220,0.130553493
20111221,0.12990169
20111222,0.129467362
20111223,0.129253254
20111226,0.129260669
20111227,0.130769322
20111228,0.13098472
20111229,0.132055019
20120102,0.132272129
20120103,0.130983257
20120104,0.13141419
20120105,0.131199691
20120106,0.130551995
20120109,0.130551995
20120110,0.130551995
20120111,0.130551995
20120112,0.130551995
20120113,0.130984743
20120116,0.130335684
20120117,0.130335684
20120118,0.130335684
20120119,0.130335684
20120120,0.130335684
20120125,0.129903185
20120126,0.130551995
20120127,0.130984743
20120130,0.130335684
20120131,0.130335684
20120201,0.130335684
20120202,0.130335684
20120203,0.130335684
20120206,0.130335684
20120207,0.129903185
20120208,0.130551995
20120209,0.130551995
20120210,0.130551995
20120213,0.130120404
20120214,0.131199691
20120215,0.130120404
20120216,0.131199691
20120217,0.130120404
20120220,0.130767852
20120221,0.131632686
20120222,0.129471841
20120223,0.130767852
20120224,0.130337166
20120227,0.130983257
20120228,0.130553471
20120229,0.131198212
20120302,0.130769322
20120305,0.131412718
20120306,0.131412718
20120307,0.131412718
20120308,0.131412718
20120309,0.131412718
20120312,0.131412718
20120313,0.131412718
20120314,0.13098472
20120315,0.131199668
20120316,0.131414168
20120319,0.131628222
20120320,0.132266298
20120321,0.131841831
20120322,0.132903298
20120323,0.132266298
20120326,0.132266298
20120327,0.132266298
20120328,0.132266298
20120329,0.132266298
20120330,0.132691883
20120402,0.132053566
20120403,0.132480032
20120404,0.131840393
20120405,0.132267745
20120406,0.132055019
20120409,0.131841853
20120410,0.132491754
20120412,0.130984743
20120413,0.130335684
20120416,0.130769344
20120417,0.130118916
20120418,0.130118916
20120419,0.130118916
20120420,0.130118916
20120423,0.129685505
20120424,0.129903185
20120425,0.130551995
20120426,0.130551995
20120427,0.130551995
20120430,0.130551995
20120502,0.130551995
20120503,0.130551995
20120504,0.130984743
20120507,0.130769344
20120508,0.130118916
20120509,0.130553493
20120510,0.129467362
20120511,0.130118916
20120514,0.130118916
20120515,0.130553493
20120516,0.12990169
20120517,0.12990169
20120518,0.130337189
20120521,0.129684003
20120522,0.129684003
20120523,0.129684003
20120524,0.129684003
20120525,0.129684003
20120529,0.129684003
20120530,0.129684003
20120531,0.130120427
20120601,0.13034175
20120604,0.129467386
20120605,0.128808612
20120607,0.128369643
20120608,0.12990781
20120611,0.128148683
20120612,0.128808612
20120613,0.128808612
20120614,0.129248779
20120615,0.129029706
20120618,0.1283681
20120619,0.1283681
20120620,0.1283681
20120621,0.1283681
20120622,0.1283681
20120625,0.1283681
20120626,0.1283681
20120627,0.1283681
20120628,0.1283681
20120629,0.127927245
20120702,0.128588593
20120703,0.128588593
20120704,0.129029706
20120705,0.1283681
20120706,0.129253444
20120709,0.129261308
20120710,0.127258472
20120711,0.128602853
20120712,0.136306923
20120713,0.122702727
20120716,0.121759881
20120717,0.122957416
20120718,0.121538856
20120719,0.120342866
20120720,0.119864266
20120723,0.120365753
20120724,0.11742899
20120725,0.119406758
20120726,0.11594599
20120727,0.114233296
20120730,0.118408977
20120731,0.11767439
20120801,0.118657828
20120802,0.117676342
20120803,0.117430952
20120806,0.117184967
20120807,0.116441416
20120808,0.116938386
20120809,0.11470772
20120810,0.116936404
20120813,0.115951883
20120814,0.115475425
20120816,0.115513319
20120817,0.120337259
20120820,0.118180219
20120821,0.121293374
20120822,0.119856736
20120823,0.119856736
20120824,0.120337259
20120827,0.119616552
20120828,0.120098212
20120829,0.119858602
20120830,0.119618428
20120831,0.119377685
20120903,0.120113359
20120904,0.118900262
20120905,0.118414814
20120906,0.116936404
20120907,0.116443383
20120910,0.117182995
20120911,0.118171218
20120912,0.116689212
20120913,0.113746624
20120914,0.118652021
20120917,0.116458814
20120918,0.119624119
20120919,0.117676308
20120920,0.119873825
20120921,0.116696972
20120924,0.118163419
20120925,0.118163419
20120926,0.118163419
20120927,0.117676308
20120928,0.118894484
20121002,0.11914212
20121004,0.118165352
20121005,0.11742899
20121008,0.117921141
20121009,0.117182995
20121010,0.119665108
20121011,0.115446147
20121012,0.116193014
20121015,0.116193014
20121016,0.116193014
20121017,0.116193014
20121018,0.116193014
20121019,0.116193014
20121022,0.115696376
20121023,0.117436908
20121024,0.116443419
20121025,0.115195298
20121026,0.116443419
20121029,0.115694379
20121030,0.115694379
20121031,0.116195027
20121101,0.115444139
20121102,0.115444139
20121105,0.115444139
20121106,0.115444139
20121107,0.115444139
20121108,0.115444139
20121109,0.115444139
20121112,0.115444139
20121113,0.115946026
20121114,0.11519328
20121115,0.11519328
20121116,0.11519328
20121119,0.114691731
20121120,0.115444139
20121121,0.115444139
20121122,0.115444139
20121123,0.114943827
20121126,0.116195027
20121127,0.114943827
20121128,0.115694379
20121129,0.115694379
20121130,0.115694379
20121203,0.115694379
20121204,0.115195298
20121205,0.115944003
20121206,0.115944003
20121207,0.115944003
20121210,0.115446147
20121211,0.116691204
20121212,0.115944003
20121213,0.115446147
20121214,0.116193014
20121217,0.116193014
20121218,0.116193014
20121220,0.116193014
20121221,0.116691204
20121224,0.115944003
20121226,0.115446147
20121227,0.116691204
20121228,0.115944003
20130102,0.115944003
20130103,0.116944403
20130104,0.116449499
20130107,0.114941798
20130108,0.115446183
20130109,0.114689692
20130110,0.115702588
20130111,0.112166947
20130114,0.11519328
20130115,0.115696413
20130116,0.114941798
20130117,0.114941798
20130118,0.114439006
20130121,0.11519328
20130122,0.11519328
20130123,0.11519328
20130124,0.11519328
20130125,0.11519328
20130128,0.114691731
20130129,0.115444139
20130130,0.114943827
20130131,0.116195027
20130201,0.115444139
20130204,0.115444139
20130205,0.115946026
20130206,0.116201139
20130207,0.114689692
20130208,0.114689692
20130212,0.115195335
20130213,0.113931657
20130214,0.114689692
20130215,0.115195335
20130218,0.114943864
20130219,0.114691768
20130220,0.113421753
20130221,0.115201575
20130222,0.113165835
20130225,0.114439043
20130226,0.114185687
20130227,0.113931695
20130228,0.11316373
20130304,0.113677064
20130305,0.112907152
20130306,0.112394173
20130307,0.112652048
20130308,0.11341966
20130311,0.11341966
20130312,0.114960734
20130313,0.112649922
20130314,0.112135639
20130315,0.112907152
20130318,0.113421792
20130319,0.112649922
20130320,0.112649922
20130321,0.112649922
20130322,0.112649922
20130325,0.112649922
20130326,0.112649922
20130327,0.112135639
20130328,0.117071614
20130329,0.109785256
20130401,0.111876483
20130402,0.112142331
20130403,0.11109488
20130404,0.110304908
20130405,0.111362848
20130408,0.109776316
20130409,0.109247221
20130410,0.110570432
20130411,0.103541042
20130412,0.110865101
20130415,0.113929585
20130416,0.114950137
20130417,0.11341966
20130418,0.113931695
20130419,0.112142008
20130422,0.112152481
20130423,0.114943864
20130424,0.112668715
20130425,0.115446183
20130426,0.115195335
20130429,0.115452391
20130430,0.11597727
20130502,0.114975774
20130503,0.111356045
20130506,0.108044602
20130507,0.115201575
20130508,0.114185687
20130509,0.116516864
20130510,0.112915852
20130513,0.111876483
20130514,0.11161662
20130515,0.111356087
20130516,0.11056817
20130520,0.110043202
20130521,0.110830747
20130522,0.11030714
20130523,0.11161662
20130524,0.110830747
20130527,0.110830747
20130528,0.110830747
20130529,0.108746615
20130530,0.112394213
20130531,0.111614406
20130603,0.112135679
20130604,0.111353861
20130605,0.111876483
20130607,0.112142331
20130610,0.11056817
20130611,0.11056817
20130612,0.11056817
20130613,0.11109488
20130614,0.110304908
20130617,0.109778572
20130618,0.11056817
20130619,0.11056817
20130620,0.107960548
20130621,0.110324622
20130624,0.111112042
20130625,0.114445383
20130626,0.112394173
20130627,0.11316373
20130628,0.115227076
20130701,0.113172384
20130702,0.113709837
20130703,0.112153573
20130704,0.111374276
20130705,0.108978198
20130708,0.108444907
20130709,0.10924494
20130710,0.109778616
20130711,0.108978198
20130712,0.108444907
20130715,0.108713055
20130716,0.109510978
20130717,0.109510978
20130718,0.109510978
20130719,0.108980492
20130722,0.109247221
20130723,0.109513247
20130724,0.109778572
20130725,0.109519967
20130726,0.11057039
20130729,0.111353861
20130730,0.110313752
20130731,0.111356045
20130801,0.112652088
20130802,0.112394213
20130805,0.112658669
20130806,0.11161662
20130807,0.110830747
20130808,0.111356087
20130809,0.11056817
20130812,0.11056817
20130813,0.110043202
20130814,0.11030714
20130816,0.11057039
20130819,0.111353861
20130820,0.111876483
20130821,0.111092643
20130822,0.11004985
20130823,0.112135679
20130826,0.111353861
20130827,0.111353861
20130828,0.111353861
20130829,0.111353861
20130830,0.111353861
20130902,0.111353861
20130903,0.111876483
20130904,0.111092643
20130905,0.11057039
20130906,0.111876483
20130909,0.11161662
20130910,0.110830747
20130911,0.110830747
20130912,0.110830747
20130913,0.110830747
20130916,0.110830747
20130917,0.110830747
20130923,0.110830747
20130924,0.109785256
20130925,0.111353861
20130926,0.111353861
20130927,0.111876483
20130930,0.111092643
20131001,0.11057039
20131002,0.111876483
20131004,0.111092643
20131007,0.111092643
20131008,0.111092643
20131010,0.111092643
20131011,0.111092643
20131014,0.111092643
20131015,0.111092643
20131016,0.11161662
20131017,0.110830747
20131018,0.110830747
20131021,0.110830747
20131022,0.110830747
20131023,0.110830747
20131024,0.110830747
20131025,0.110830747
20131028,0.110202626
20131029,0.111406577
20131030,0.111118884
20131031,0.11096178
20131101,0.110909409
20131104,0.110987966
20131105,0.110987966
20131106,0.110987966
20131107,0.110883269
20131108,0.111040318
20131111,0.110622162
20131112,0.111249455
20131113,0.111301694
20131114,0.111432449
20131115,0.111275766
20131118,0.111092665
20131119,0.111014145
20131120,0.111118884
20131121,0.111118995
20131122,0.11088318
20131125,0.11088318
20131126,0.111092999
20131127,0.110778286
20131128,0.110673372
20131129,0.110830747
20131202,0.110725887
20131203,0.110464374
20131204,0.111092643
20131205,0.111249654
20131206,0.111066506
20131209,0.111197566
20131210,0.110830769
20131211,0.110542966
20131212,0.111249654
20131213,0.111066506
20131216,0.110987966
20131217,0.110674083
20131218,0.110831545
20131219,0.110520549
20131220,0.111432643
20131223,0.110787044
20131224,0.112237074
20131226,0.112392035
20131227,0.113844658
20131230,0.111666435
20140102,0.111770499
20140103,0.111718524
20140106,0.112869431
20140107,0.111014234
20140108,0.111119351
20140109,0.110725798
20140110,0.110358711
20140113,0.110490689
20140114,0.110805318
20140115,0.111223359
20140116,0.111406112
20140117,0.111145029
20140120,0.110884594
20140121,0.111458182
20140122,0.111380144
20140123,0.111718524
20140124,0.111406222
20140127,0.111017306
20140128,0.111744776
20140129,0.112107621
20140203,0.112185447
20140204,0.112471645
20140205,0.111796476
20140206,0.111640424
20140207,0.111796586
20140210,0.111562351
20140211,0.111562351
20140212,0.111562351
20140213,0.111562351
20140214,0.111562351
20140217,0.111562351
20140218,0.111562351
20140219,0.111562351
20140220,0.111562351
20140221,0.111562351
20140224,0.111562351
20140225,0.111406222
20140226,0.111536401
20140227,0.111692439
20140228,0.111692439
20140303,0.111173272
20140304,0.111952114
20140305,0.111952114
20140306,0.111952114
20140307,0.111952114
20140310,0.111952114
20140311,0.111485984
20140312,0.112185252
20140313,0.112185252
20140314,0.112651675
20140317,0.111796585
20140318,0.112081723
20140319,0.112003969
20140320,0.112003969
20140321,0.111900319
20140324,0.112055797
20140325,0.112107621
20140326,0.112029886
20140327,0.112081723
20140328,0.111952135
20140331,0.112081723
20140401,0.112003969
20140402,0.112211471
20140403,0.111952135
20140404,0.111978132
20140407,0.111874303
20140408,0.111796389
20140409,0.111796389
20140410,0.111744449
20140411,0.11182236
20140414,0.111666631
20140415,0.111900232
20140416,0.111900232
20140417,0.111900232
20140418,0.111900232
20140421,0.111900232
20140422,0.111848346
20140423,0.111718785
20140424,0.112029886
20140425,0.112029886
20140428,0.111926263
20140429,0.111978131
20140430,0.11213349
20140502,0.112237074
20140507,0.112185339
20140508,0.112185447
20140509,0.11200399
20140512,0.111978066
20140513,0.111900232
20140514,0.111900232
20140515,0.111900232
20140516,0.111900232
20140519,0.111900232
20140520,0.111900232
20140521,0.111900232
20140522,0.111900232
20140523,0.111900232
20140526,0.111900232
20140527,0.111848346
20140528,0.111926176
20140529,0.111926176
20140530,0.111926176
20140602,0.111926176
20140603,0.111926176
20140605,0.111926176
20140609,0.111718785
20140610,0.112081723
20140611,0.112003969
20140612,0.11247123
20140613,0.112030432
20140616,0.111796586
20140617,0.111562351
20140618,0.111458248
20140619,0.111770609
20140620,0.111536313
20140623,0.111536313
20140624,0.111536313
20140625,0.111380144
20140626,0.111510357
20140627,0.111666435
20140630,0.111666435
20140701,0.111770499
20140702,0.113130835
20140703,0.110909409
20140704,0.110988166
20140707,0.110752045
20140708,0.110752045
20140709,0.111225142
20140710,0.110937021
20140711,0.110674385
20140714,0.110120216
20140715,0.110278748
20140716,0.110570432
20140717,0.112071753
20140718,0.108844935
20140721,0.108576781
20140722,0.10898009
20140723,0.109659567
20140724,0.107498387
20140725,0.107633819
20140728,0.107552558
20140729,0.107335985
20140730,0.108203008
20140731,0.107715829
20140801,0.107390102
20140804,0.107090993
20140805,0.107499228
20140806,0.107227336
20140807,0.107337149
20140808,0.107668709
20140811,0.106298732
20140812,0.106243857
20140813,0.106795311
20140814,0.106550762
20140818,0.105472579
20140819,0.105278599
20140820,0.105361894
20140821,0.10522324
20140822,0.105390255
20140825,0.105001197
20140826,0.104945609
20140827,0.1050015
20140828,0.104667107
20140829,0.104611359
20140901,0.104750734
20140902,0.105505693
20140903,0.104248053
20140904,0.104248053
20140905,0.104640475
20140911,0.104332644
20140912,0.10640297
20140915,0.103180687
20140916,0.103269361
20140917,0.10249932
20140918,0.101897348
20140919,0.101638838
20140922,0.101753814
20140923,0.101581355
20140924,0.10140895
20140925,0.101725028
20140926,0.101638838
20140929,0.101638838
20140930,0.102445437
20141001,0.104382723
20141002,0.099665644
20141006,0.099724266
20141007,0.099577716
20141008,0.099665644
20141010,0.099958974
20141013,0.099753973
20141014,0.099401544
20141015,0.101650684
20141016,0.09977154
20141017,0.097772724
20141020,0.097413211
20141021,0.097713239
20141022,0.097263227
20141023,0.097263227
20141024,0.097323277
20141027,0.097233204
20141028,0.097233204
20141029,0.097353363
20141030,0.097233233
20141031,0.097805696
20141103,0.097416191
20141104,0.097663526
20141105,0.096787704
20141106,0.095935056
20141107,0.095292628
20141110,0.095292628
20141111,0.093466212
20141112,0.095601373
20141113,0.096509908
20141114,0.096509908
20141117,0.096509908
20141118,0.096509908
20141119,0.096570414
20141120,0.096479657
20141121,0.096479657
20141124,0.09678251
20141125,0.096328262
20141126,0.096449517
20141127,0.095662401
20141128,0.096872961
20141201,0.096298075
20141202,0.096358679
20141203,0.095936561
20141204,0.096661297
20141205,0.096812038
20141208,0.095018531
20141209,0.098219714
20141210,0.097802145
20141211,0.098309836
20141212,0.097802233
20141215,0.09720461
20141216,0.097772283
20141217,0.096969168
20141218,0.098070936
20141219,0.098545893
